GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US18045,18045,"Fountain County, Indiana",6912,176,4756,174,3697,161,2156,160,4.3,1.2,3.1,1.2,1.5,1.1,9.5,2.7,5.9,1.3,3.5,1.3,2.1,1.2,11.1,3.3,13.0,1.9,8.5,2.2,4.9,1.5,25.0,4.5,13.4,1.8,13.8,2.2,11.9,2.4,12.6,3.4,17.9,2.2,17.6,2.7,16.7,2.8,17.1,3.9,20.3,2.3,21.4,3.0,23.0,3.7,15.8,3.9,12.1,1.7,15.1,2.2,18.5,2.9,4.5,2.4,9.4,1.6,12.3,2.4,15.4,2.9,3.9,2.0,2.9,1.0,3.6,1.3,4.5,1.7,0.4,0.6,0.8,0.3,1.2,0.5,1.4,0.6,0.0,1.4,45660,1857,52908,2540,61414,3788,28254,2965,56926,2221,64854,3394,,,37301,3286,31.8,,,,,,,,,,31.9,,,,,,,,,,,,30.6,
0500000US18047,18047,"Franklin County, Indiana",8726,195,6599,241,5358,258,2127,224,4.7,1.3,4.0,1.5,1.3,0.7,10.2,3.3,5.4,1.8,3.9,1.8,2.6,1.8,12.1,4.2,9.5,2.0,7.3,1.9,5.9,2.1,20.3,4.7,12.7,2.1,8.8,1.9,8.6,2.2,23.6,4.9,17.4,2.6,15.6,2.7,13.5,2.7,20.2,5.2,20.0,2.7,22.5,3.4,25.1,4.0,9.7,3.7,15.1,2.0,18.9,2.6,21.6,3.2,2.6,1.3,10.1,1.9,12.7,2.5,14.0,2.6,1.3,1.4,2.8,1.0,3.4,1.2,4.2,1.5,0.0,1.4,2.2,0.9,2.8,1.2,3.4,1.5,0.0,1.4,50262,4518,61670,5761,68274,2972,27038,1980,62169,2829,70581,3834,,,31192,2335,30.7,,,,,,,,,,31.6,,,,,,,,,,,,26.6,
0500000US18049,18049,"Fulton County, Indiana",8208,249,5598,298,4560,281,2610,272,8.2,1.9,6.3,2.4,4.5,2.4,13.8,4.5,6.3,1.7,3.0,1.5,2.1,1.5,13.4,3.9,14.2,2.6,9.3,2.7,7.1,2.6,26.1,6.0,12.4,2.2,11.3,2.5,9.4,2.0,14.3,4.4,17.8,2.8,19.3,3.2,19.4,3.5,15.0,4.6,18.8,2.5,20.6,3.1,21.6,3.4,12.4,4.0,11.3,2.0,15.6,2.9,18.3,3.5,2.1,1.5,8.1,1.6,10.9,2.3,13.2,2.7,2.2,1.4,1.8,0.8,2.2,1.1,2.7,1.4,0.8,0.9,1.0,0.7,1.4,1.0,1.7,1.3,0.1,0.3,42585,2662,50507,4179,56240,5423,23404,3250,52930,3501,61670,5021,,,32679,4214,27.2,,,,,,,,,,26.1,,,,,,,,,,,,27.0,
0500000US18051,18051,"Gibson County, Indiana",12987,308,9009,301,7259,329,3978,289,5.4,1.1,3.4,1.2,2.1,1.3,10.5,3.0,5.6,1.1,2.8,1.2,1.0,0.6,12.6,2.7,10.7,1.3,6.0,1.1,4.3,1.1,21.9,3.2,12.9,1.7,10.7,1.7,9.5,1.8,19.6,4.2,17.3,1.6,17.2,1.9,17.0,2.3,16.5,3.2,17.5,1.9,20.3,2.4,21.0,2.8,11.5,2.9,14.3,1.6,18.1,1.9,19.7,2.2,4.4,1.9,11.8,1.4,15.4,2.1,17.8,2.2,2.4,1.6,2.9,0.8,3.8,1.0,4.7,1.3,0.4,0.7,1.6,0.8,2.2,1.1,2.7,1.4,0.2,0.2,48176,2022,61529,3476,68886,2926,27556,2585,61339,2272,71550,2925,,,35527,3741,27.9,,,,,,,,,,28.8,,,,,,,,,,,,24.7,
0500000US18053,18053,"Grant County, Indiana",26829,484,17450,486,12687,487,9379,506,8.7,1.0,7.6,1.3,2.9,1.0,13.9,1.9,6.7,0.9,3.7,0.9,2.1,0.7,12.1,2.0,14.6,1.2,9.4,1.4,6.6,1.4,24.9,2.8,14.2,1.1,11.6,1.5,10.0,1.4,17.0,1.9,17.0,1.4,19.2,1.9,20.2,2.3,13.1,2.2,18.7,1.4,23.1,1.9,26.4,2.3,10.3,2.0,11.1,1.2,13.9,1.4,17.1,1.9,5.3,1.8,5.9,0.8,7.3,1.1,9.2,1.4,2.3,1.2,1.8,0.5,2.4,0.8,3.3,1.0,0.6,0.4,1.3,0.4,1.6,0.5,2.1,0.8,0.4,0.3,39885,1675,48860,1515,57097,2533,24493,1792,51076,1713,59411,2430,68902,2995,33018,2381,33.7,,,,,,,,,,33.1,,,,,,,,,,,,33.1,
0500000US18055,18055,"Greene County, Indiana",12879,296,8898,322,7087,279,3981,317,7.9,1.4,5.5,1.5,3.8,1.4,14.4,3.1,6.7,1.1,2.6,1.0,1.4,0.8,16.9,3.1,13.2,1.4,10.2,1.7,7.5,1.8,21.2,2.7,12.2,1.4,11.7,1.9,10.3,2.1,13.1,2.7,15.5,1.6,15.6,1.9,15.8,2.1,15.2,3.2,19.6,2.0,22.0,2.5,23.4,2.9,13.5,3.4,13.2,1.8,16.7,2.4,18.9,2.7,3.3,1.3,7.4,1.4,10.1,2.0,12.0,2.5,1.3,0.8,3.0,0.8,4.1,1.1,5.0,1.3,0.4,0.6,1.3,0.6,1.5,0.7,1.8,0.9,0.8,0.9,43470,2655,54498,2557,61501,2972,23684,2110,55638,3629,63309,2527,,,36013,8298,28.1,,,,,,,,,,27.1,,,,,,,,,,,,29.2,
0500000US18057,18057,"Hamilton County, Indiana",105578,732,78018,1056,65552,1235,27560,1110,2.5,0.4,1.7,0.4,0.5,0.2,5.5,1.0,2.1,0.4,0.9,0.2,0.3,0.1,5.8,1.2,5.4,0.5,3.0,0.4,1.8,0.4,12.8,1.7,6.2,0.6,4.2,0.6,3.0,0.5,12.8,1.8,10.8,0.8,8.6,0.8,7.0,0.8,17.3,2.0,16.7,0.8,15.2,0.9,13.8,0.9,20.6,2.0,14.8,0.8,15.3,0.8,16.3,1.0,12.7,1.8,21.6,0.9,26.2,1.2,28.5,1.3,8.1,1.4,9.4,0.7,11.6,1.0,13.3,1.1,2.5,0.7,10.4,0.7,13.3,0.9,15.4,1.0,1.9,0.7,84635,1883,101336,1523,110228,2198,45980,1967,108833,1607,125215,2105,137035,2527,59731,3044,23.5,,,,,,,,,,24.2,,,,,,,,,,,,21.0,
0500000US18059,18059,"Hancock County, Indiana",26142,459,19258,594,15387,527,6884,548,3.7,0.7,2.2,0.7,0.6,0.4,9.5,2.5,3.4,0.8,2.1,0.8,0.9,0.6,8.2,2.4,7.6,1.2,4.4,1.0,2.8,0.8,16.9,3.2,9.7,1.4,7.4,1.7,5.9,1.6,15.7,2.8,12.9,1.7,11.8,1.8,10.1,1.8,16.6,3.2,21.2,1.9,21.8,2.2,21.9,2.3,17.5,4.1,16.9,1.7,20.7,2.3,22.3,2.4,7.0,2.3,16.3,1.6,19.2,1.9,22.7,2.3,6.9,2.7,4.9,0.8,6.1,1.1,7.5,1.4,0.4,0.4,3.5,0.7,4.2,0.9,5.3,1.2,1.3,1.0,65517,2528,75249,2886,83115,3186,34681,4548,75616,2576,84587,2697,,,47449,5796,22.4,,,,,,,,,,21.4,,,,,,,,,,,,22.9,
0500000US18061,18061,"Harrison County, Indiana",14678,334,10529,351,8453,389,4149,357,6.2,1.4,3.5,1.3,1.9,1.3,14.3,3.6,5.4,1.3,2.6,1.2,1.0,0.9,12.8,3.3,10.4,1.5,6.9,1.6,3.8,1.5,19.6,3.9,9.8,1.6,8.6,1.8,6.7,1.8,13.6,4.0,14.7,2.1,14.8,2.3,14.9,2.7,14.0,3.4,21.4,1.7,23.7,2.2,25.7,2.7,15.5,4.1,15.2,1.6,18.3,2.2,21.1,2.7,6.3,2.4,13.3,1.8,16.4,2.5,18.9,2.9,4.0,1.9,2.5,0.6,3.6,0.9,4.1,1.1,0.0,0.7,1.2,0.5,1.5,0.7,1.8,0.9,0.0,0.7,53483,2893,63469,4210,71338,2933,27405,4193,62896,2460,72574,3462,79732,3892,35368,2720,23.3,,,,,,,,,,22.2,,,,,,,,,,,,25.0,
0500000US18063,18063,"Hendricks County, Indiana",53959,552,40266,709,32868,783,13693,732,2.9,0.6,1.6,0.5,0.6,0.3,7.8,2.0,2.4,0.5,1.1,0.4,0.4,0.3,6.5,1.7,5.9,0.7,3.9,0.8,2.3,0.6,13.0,1.9,8.4,0.9,6.7,1.0,4.9,0.9,15.2,2.5,14.3,1.2,12.1,1.3,9.9,1.2,20.5,2.7,21.1,1.4,21.0,1.5,19.8,1.6,20.7,2.8,15.5,1.2,17.6,1.5,19.4,1.8,8.4,1.9,19.0,1.4,23.2,1.6,27.1,1.7,5.8,1.8,6.3,0.8,7.7,1.0,9.3,1.2,1.2,0.6,4.1,0.6,5.2,0.9,6.2,1.1,0.9,0.5,68342,2713,80160,3084,90655,2400,40576,2382,82231,2089,91827,2434,101057,2833,50195,4264,28.3,,,,,,,,,,28.6,,,,,,,,,,,,25.9,
